,Time,Text
129,2019-01-03 23:28:14+00:00,"wellsfargo settled m exploiting low income people. maybe cityofatlanta keishabottoms reconsider relationship ""the initiative be co chaired tai roberson, senior community development officer wells fargo"""
130,2019-01-03 23:24:58+00:00,"my poor apple stock... to put apple market value plunge context, billion double size wells fargo than three times size mcdonald’s than five times size costco more than times size raytheon"
131,2019-01-03 23:23:28+00:00,proud say my employer years wellsfargo named blackenterpise magazine list the best companies diversity.
132,2019-01-03 23:19:14+00:00,"bankofamerica once favorite financial institutions due poor customer service, non customer friendly policies i’m looking change my business chase wellsfargo..."
133,2019-01-03 23:18:39+00:00,it’s utahmbb game day the runnin’ utes visit asu tempe the k satellite pregame show jp chunga larsen espn live now espnbill jimmysoto take from wells fargo arena utah asu tips at pm mt
134,2019-01-03 23:17:56+00:00,crypto critics wells fargo caught scamming clients
135,2019-01-03 23:17:03+00:00,"game wells fargo center wellsfargoctr carolina hurricanes vs philadelphia flyers philadelphia, pa"
136,2019-01-03 23:17:02+00:00,spookymari wells fargo
137,2019-01-03 23:15:00+00:00,riding shotgun across west john boessenecker’s new book uncovering heroes wells fargo.
138,2019-01-03 23:12:42+00:00,wells fargo could pay california . million settle force placed insurance charges
139,2019-01-03 23:12:11+00:00,the dj bud light zone wells fargo center played deftones i love
140,2019-01-03 23:12:08+00:00,wells fargo could pay california . million settle force placed insurance charges
141,2019-01-03 23:09:32+00:00,"don submit quit. apply jobs like ""strategic planning manager "" wells fargo, look people might know the company. you might able reach hr directly. ready to apply? check the link our bio."
142,2019-01-03 23:07:38+00:00,repeated errors cost hundreds people homes—now wells fargo wants buy silence
143,2019-01-03 23:05:27+00:00,trillataylor wellsfargo remember i told i having problem w wells fargo you said was fault god don’t like ugly
144,2019-01-03 23:04:22+00:00,wells fargo agrees pay california million drop insurance license state – ktla
145,2019-01-03 23:03:34+00:00,musser benson wfb fraud wellsfargo stop fines liquidate bank. distribute funds the people ruined whatever left go the shareholders. badbank wellsfargo
146,2019-01-03 23:00:05+00:00,louisiana receiving almost million wells fargo settlement
147,2019-01-03 23:00:05+00:00,louisiana receiving almost million wells fargo settlement
148,2019-01-03 22:57:21+00:00,"wells fargo, bank america offer help clients amid government shutdown cnbc"
149,2019-01-03 22:56:53+00:00,iron spike wells. wells. wells fargo
150,2019-01-03 22:56:37+00:00,allentown morning call they destroyed woman says wells fargo mistake forced to sell home. via googlenews
151,2019-01-03 22:51:36+00:00,sencortezmasto foreverlogical wellsfargo please because they’re one the banks extending assistance the vulnerable employees effected the shutdown . we don’t want leeches hurting any than currently are.
152,2019-01-03 22:51:12+00:00,the jolly banker wells fargo just admitted robbing us citizens b...
153,2019-01-04 23:58:39+00:00,"ask wellsfargo can not get system work girard ave, philadelphia? this makes weeks a row the teller windows not open of problem. please get problem fixed"
154,2020-09-03 18:26:48+00:00,"lenovo legion x playapex now your chance rise the rest. unmatched performance, purposeful engineering, modern design. gear with machine savage you are. stylish outside. savage inside."
155,2019-01-04 23:58:13+00:00,"wellsfargo really think it’s wise only one bank, just one, a city , people? you use that money buy you some brains"
156,2019-01-04 23:58:10+00:00,"i at wells fargo bank live oak branch arcadia, ca"
157,2019-01-04 23:58:05+00:00,the embarrassment is wellsfargo
158,2019-01-04 23:57:16+00:00,just found atms wells fargo down bc christmas someone took shotgun it steal the money didn’t get onlyinsb
159,2019-01-04 23:55:27+00:00,"tharp i received dm. in order connect with appropriate team, please resend information our ask wellsfargo handle using dm link below. thanks your understanding. janet"
160,2019-01-04 23:55:03+00:00,wow. almost hour now. still nothing. can wait visit branch monday morning close account. bye wellsfargo wellsfargonews wellsfargobb ask wellsfargo wellsfargoworks
161,2019-01-04 23:53:21+00:00,not cuttin’ high top til isee k wells fargo no typa debt except ma car school loan
162,2019-01-04 23:52:24+00:00,"""wells fargo should be more generous with federal workers. we’re waiting."" ron lieber via nyt"
163,2019-01-04 23:52:11+00:00,"jeremyblum wfa wellsfargo systematically defrauded millions ordinary people, knowingly"
164,2019-01-04 23:52:01+00:00,mumfordandsons maggierogers dan grech was good the wells fargo center you guys came philadelphia.
165,2019-01-04 23:50:48+00:00,"damonmartin that a lot cards plan try work around obstacles injuries, weight cut issues, etc hope one makes wellsfargo arena des moines. lots midwest fighters for sure to sell out."
166,2019-01-04 23:48:43+00:00,thebachfather typical wells fargo bizness
167,2019-01-04 23:48:36+00:00,"maybe fsg ""roadmap"" there, that encourages ""diy compliance"" lawyers vw gm wellsfargo cbs getcompliancesme =&gt; it’s culture, stupid"
168,2019-01-04 23:48:19+00:00,your money wells fargo should be more generous with federal workers. we’re waiting.
169,2019-01-04 23:45:42+00:00,do know anyone wells fargo mortgage loan office you would recommend using? if please let know thank you.
170,2019-01-04 23:45:12+00:00,here how much north carolina gets wells fargo recent m settlement
171,2019-01-04 23:43:13+00:00,wells fargo forgot whole damn wallet lost &amp; don’t my id
172,2019-01-04 23:42:36+00:00,advchaser dstroyr ub wellsfargo this makes happy
173,2019-01-04 23:41:57+00:00,"wellsfargo i’ve customer since past november even though debit card says , your customer service local bank been phenomenal. hope have a great weekend."
174,2019-01-04 23:39:39+00:00,bankofamerica wellsfargo chase the lady asked all question. please respond empathy you understand federal workers going through.
175,2019-01-04 23:38:57+00:00,"wellsfargo i been hold minutes counting. you making hard me give money. maybe i just take business elsewhere? it an appealing idea. you know, especially all fraud everything."
176,2019-01-04 23:38:15+00:00,resist hopefully will be soon. i lost million dollars stock wachovia bank went and became wells fargo. killed i fought back no help. just want let know have be tough it hard but we do
177,2019-01-04 23:35:43+00:00,so i’m wells fargo this teller has helped times always messes something me. so taday i saw and i tried go another girl no i got again ‍️
178,2019-01-04 23:34:19+00:00,so im wells fargo.... lol
179,2019-01-04 23:29:00+00:00,"rt profwolff over last years, wells fargo bank got caught. paid gov’t . billion total fines, penalties ripoffs. yet bank’s profit same years = billion. total fines, penalties = . profits. trivial. no wonder banks keep ripp…"
180,2019-01-04 23:28:25+00:00,want know we need senwarren? repeated errors cost hundreds people homes wells fargo wants buy silence.
181,2019-01-04 23:28:13+00:00,retweet seeking a sugar daddy spoil and make you happy . contact now sugarbaby sugarbabywanted sugardaddywanted sugardaddyneeded usaa wellsfargo creditunion usbank creditunion
182,2019-01-04 23:27:02+00:00,kevin kresinski . wellsfargo equipment finance talks predictions the construction industry how use to advantage
183,2019-01-04 23:26:57+00:00,sheabuttermami they in wells fargo center
184,2019-01-04 23:25:35+00:00,wellsfargo f u c k x y o u life ban your competition told at age free you’re stupid
185,2019-01-04 23:22:25+00:00,wells fargo should be more generous with federal workers. we’re waiting.
186,2019-01-04 23:21:21+00:00,they destroyed me. how wells fargo wrongly forced hundreds families sell their homes welts fargo
187,2019-01-04 23:20:08+00:00,wells fargo investment institute expects positive performance for major stock indices.
188,2019-01-04 23:18:00+00:00,rewards cards capital one wells fargo helped tedrossman boost earnings .
189,2019-01-04 23:17:38+00:00,reminiscing days wells fargo wachovia.
190,2019-01-04 23:17:01+00:00,welcome light side lol eff wells fargo
191,2019-01-04 23:16:19+00:00,your money wells fargo should be more generous with federal workers. we’re waiting.
192,2019-01-04 23:16:14+00:00,wellsfargo employees say little changed since fake accounts scandal shisters outlaws rogue
193,2019-01-04 23:15:37+00:00,mhgraywf wellsfargo warriorssupport taxslayerbowl note wells fargo. you restore image reputation one fell swoop. simply offer advance money all federal workers the trump shutdown concluded. you t lose dime may even attract few million new customers. prwindfall
194,2019-01-04 23:15:32+00:00,fake accounts scandal yields million settlement wells fargo fakeaccounts fakeaccountsscandal fakebankaccounts
195,2019-01-04 23:15:23+00:00,meyheatherwf wellsfargo note wells fargo. you restore image reputation one fell swoop. simply offer advance money all federal workers the trump shutdown concluded. you t lose dime may even attract few million new customers. prwindfall
196,2019-01-04 23:15:10+00:00,juliefogersonwf wellsfargo wichitachildren note wells fargo. you restore image reputation one fell swoop. simply offer advance money all federal workers the trump shutdown concluded. you t lose dime may even attract few million new customers. prwindfall
197,2019-01-04 23:14:47+00:00,wellsfargo note wells fargo. you restore image reputation one fell swoop. simply offer advance money all federal workers the trump shutdown concluded. you t lose dime may even attract few million new customers. prwindfall
198,2019-01-04 23:13:09+00:00,your money wells fargo should be more generous with federal workers. we’re waiting.
